city,scenario,future_winter_mean,hist_winter_baseline,winter_warming,lat,lon,summer_warming
Denver,ssp126,-3.9925082,-4.437607,0.44509864,39.7,-104.9,1.5140934
Phoenix,ssp126,10.812957,10.323685,0.48927212,33.4,-112.1,1.2533455
San Diego,ssp126,13.859663,13.251958,0.6077051,32.5,-117.0,0.6591339
Seattle,ssp126,-1.1359473,-2.0391695,0.9032222,47.8,-122.1,1.0909605
Miami,ssp126,21.585638,20.632463,0.9531746,25.8,-80.2,1.2146645
New Orleans,ssp126,11.488633,10.471191,1.0174417,30.0,-90.1,0.95804405
Minneapolis,ssp126,-7.396574,-8.761454,1.3648796,44.9,-93.2,1.570961
Chicago,ssp126,-3.4406977,-5.2833657,1.842668,41.8,-87.6,1.5276413
New York,ssp126,-0.7383918,-2.6921456,1.9537537,40.7,-74.0,1.3725815
Anchorage,ssp126,-11.566328,-14.859482,3.2931538,61.2,-149.9,1.1656818
San Diego,ssp245,14.5307455,13.251958,1.2787876,32.5,-117.0,1.4123745
Miami,ssp245,21.99645,20.632463,1.363987,25.8,-80.2,1.7687683
New Orleans,ssp245,12.052881,10.471191,1.5816898,30.0,-90.1,1.4259586
Seattle,ssp245,-0.28931484,-2.0391695,1.7498547,47.8,-122.1,2.4204788
Denver,ssp245,-2.653667,-4.437607,1.7839398,39.7,-104.9,2.5879612
Phoenix,ssp245,12.193968,10.323685,1.8702831,33.4,-112.1,2.4996758
Anchorage,ssp245,-11.829638,-14.859482,3.0298443,61.2,-149.9,1.8434429
New York,ssp245,0.7280743,-2.6921456,3.42022,40.7,-74.0,2.4712715
Chicago,ssp245,-1.8071449,-5.2833657,3.4762208,41.8,-87.6,2.2154007
Minneapolis,ssp245,-5.20554,-8.761454,3.5559134,44.9,-93.2,2.6317253
San Diego,ssp370,15.533363,13.251958,2.2814054,32.5,-117.0,1.959877
Miami,ssp370,22.934656,20.632463,2.3021927,25.8,-80.2,2.6633205
New Orleans,ssp370,12.861657,10.471191,2.3904657,30.0,-90.1,2.4910011
Denver,ssp370,-1.9959329,-4.437607,2.4416738,39.7,-104.9,4.1134567
Phoenix,ssp370,13.055415,10.323685,2.7317305,33.4,-112.1,3.5373116
Seattle,ssp370,1.0634168,-2.0391695,3.1025863,47.8,-122.1,3.6653748
New York,ssp370,1.472775,-2.6921456,4.164921,40.7,-74.0,3.8214912
Chicago,ssp370,-1.0823745,-5.2833657,4.200991,41.8,-87.6,4.181902
Minneapolis,ssp370,-4.338213,-8.761454,4.4232407,44.9,-93.2,4.61549
Anchorage,ssp370,-8.51391,-14.859482,6.3455715,61.2,-149.9,2.5958786
San Diego,ssp585,15.71397,13.251958,2.4620123,32.5,-117.0,2.539915
New Orleans,ssp585,13.249442,10.471191,2.7782507,30.0,-90.1,2.8788776
Denver,ssp585,-1.6579212,-4.437607,2.7796855,39.7,-104.9,5.2544403
Miami,ssp585,23.417074,20.632463,2.7846107,25.8,-80.2,3.487877
Phoenix,ssp585,13.322547,10.323685,2.9988623,33.4,-112.1,4.133667
Seattle,ssp585,1.3160161,-2.0391695,3.3551855,47.8,-122.1,4.700449
Chicago,ssp585,-0.37251297,-5.2833657,4.910853,41.8,-87.6,5.643177
New York,ssp585,2.2318008,-2.6921456,4.9239464,40.7,-74.0,4.7209377
Minneapolis,ssp585,-3.7808,-8.761454,4.980654,44.9,-93.2,6.245449
Anchorage,ssp585,-7.4899945,-14.859482,7.3694873,61.2,-149.9,2.758831
