city,model,scenario,year,season,temp_c
Albuquerque,MPI-ESM1-2-HR,historical,1850,summer,25.528778
Albuquerque,MPI-ESM1-2-HR,historical,1850,winter,-0.88746136
Albuquerque,MPI-ESM1-2-HR,historical,1851,summer,23.951569
Albuquerque,MPI-ESM1-2-HR,historical,1851,winter,0.40935263
Albuquerque,MPI-ESM1-2-HR,historical,1852,summer,23.909058
Albuquerque,MPI-ESM1-2-HR,historical,1852,winter,-0.24350993
Albuquerque,MPI-ESM1-2-HR,historical,1853,summer,25.80601
Albuquerque,MPI-ESM1-2-HR,historical,1853,winter,-0.2654012
Albuquerque,MPI-ESM1-2-HR,historical,1854,summer,23.874277
Albuquerque,MPI-ESM1-2-HR,historical,1854,winter,-1.0356954
Albuquerque,MPI-ESM1-2-HR,historical,1855,summer,23.78826
Albuquerque,MPI-ESM1-2-HR,historical,1855,winter,0.14729817
Albuquerque,MPI-ESM1-2-HR,historical,1856,summer,24.337952
Albuquerque,MPI-ESM1-2-HR,historical,1856,winter,0.9078267
Albuquerque,MPI-ESM1-2-HR,historical,1857,summer,22.956644
Albuquerque,MPI-ESM1-2-HR,historical,1857,winter,-1.6987509
Albuquerque,MPI-ESM1-2-HR,historical,1858,summer,22.602468
Albuquerque,MPI-ESM1-2-HR,historical,1858,winter,-2.8055317
Albuquerque,MPI-ESM1-2-HR,historical,1859,summer,22.989594
Albuquerque,MPI-ESM1-2-HR,historical,1859,winter,-1.0856832
Albuquerque,MPI-ESM1-2-HR,historical,1860,summer,25.147043
Albuquerque,MPI-ESM1-2-HR,historical,1860,winter,0.15905762
Albuquerque,MPI-ESM1-2-HR,historical,1861,summer,24.277536
Albuquerque,MPI-ESM1-2-HR,historical,1861,winter,-1.9034323
Albuquerque,MPI-ESM1-2-HR,historical,1862,summer,25.982208
Albuquerque,MPI-ESM1-2-HR,historical,1862,winter,-2.842509
Albuquerque,MPI-ESM1-2-HR,historical,1863,summer,23.70997
Albuquerque,MPI-ESM1-2-HR,historical,1863,winter,-0.5313212
Albuquerque,MPI-ESM1-2-HR,historical,1864,summer,22.932953
Albuquerque,MPI-ESM1-2-HR,historical,1864,winter,-0.99690753
Albuquerque,MPI-ESM1-2-HR,historical,1865,summer,24.868368
Albuquerque,MPI-ESM1-2-HR,historical,1865,winter,-1.8780314
Albuquerque,MPI-ESM1-2-HR,historical,1866,summer,23.06309
Albuquerque,MPI-ESM1-2-HR,historical,1866,winter,-1.9486084
Albuquerque,MPI-ESM1-2-HR,historical,1867,summer,24.97346
Albuquerque,MPI-ESM1-2-HR,historical,1867,winter,-2.2085774
Albuquerque,MPI-ESM1-2-HR,historical,1868,summer,25.110067
Albuquerque,MPI-ESM1-2-HR,historical,1868,winter,0.85795087
Albuquerque,MPI-ESM1-2-HR,historical,1869,summer,24.903635
Albuquerque,MPI-ESM1-2-HR,historical,1869,winter,-2.2630615
Albuquerque,MPI-ESM1-2-HR,historical,1870,summer,24.40394
Albuquerque,MPI-ESM1-2-HR,historical,1870,winter,-2.557129
Albuquerque,MPI-ESM1-2-HR,historical,1871,summer,24.574493
Albuquerque,MPI-ESM1-2-HR,historical,1871,winter,0.56810504
Albuquerque,MPI-ESM1-2-HR,historical,1872,summer,22.647715
Albuquerque,MPI-ESM1-2-HR,historical,1872,winter,0.4404602
Albuquerque,MPI-ESM1-2-HR,historical,1873,summer,24.110474
